Station,Sediment sample,Latitude Degrees,Latitude Minutes,Latitude Seconds,North/South,Longitude Degrees,Longitude Minutes,Longitude Seconds,East/West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water body,Sea Area,Place,Date,Gear,Depth (fathoms),Bottom water temperature (C) ,Bottom temp (F),Bottom water depth D (fathoms),Specific Gravity at bottom,Surface temp (C),Surface temp (F),Specific Gravity at surface,Temp (F) at 10 Fathoms,Temp (F) at 20 Fathoms,Temp (F) at 25 Fathoms,Temp (F) at 30 Fathoms,Temp (F) at 40 Fathoms,Temp (F) at 50 Fathoms,Temp (F) at 60 Fathoms,Temp (F) at 70 Fathoms,Temp (F) at 75 Fathoms,Temp (F) at 80 Fathoms,Temp (F) at 90 Fathoms,Temp (F) at 100 Fathoms,Temp (F) at 110 Fathoms,Temp (F) at 120 Fathoms,Temp (F) at 125 Fathoms,Temp (F) at 130 Fathoms,Temp (F) at 140 Fathoms,Temp (F) at 150 Fathoms,Temp (F) at 160 Fathoms,Temp (F) at 170 Fathoms,Temp (F) at 175 Fathoms,Temp (F) at 180 Fathoms,Temp (F) at 190 Fathoms,Temp (F) at 200 Fathoms,Temp (F) at 225 Fathoms,Temp (F) at 250 Fathoms,Temp (F) at 275 Fathoms,Temp (F) at 300 Fathoms,Temp (F) at 400 Fathoms,Temp (F) at 500 Fathoms,Temp (F) at 600 Fathoms,Temp (F) at 700 Fathoms,Temp (F) at 800 Fathoms,Temp (F) at 900 Fathoms,Temp (F) at 1000 Fathoms,Temp (F) at 1100 Fathoms,Temp (F) at 1200 Fathoms,Temp (F) at 1300 Fathoms,Temp (F) at 1330 Fathoms,Temp (F) at 1400 Fathoms,Temp (F) at 1450 Fathoms,Temp (F) at 1500 Fathoms,Temp (F) at 1530 Fathoms,Temp (F) at 1580 Fathoms,Temp (F) at 1600 Fathoms,Temp (F) at 1650 Fathoms,Temp (F) at 1700 Fathoms,Temp (F) at 1725 Fathoms,Temp (F) at 1730 Fathoms,Temp (F) at 1775 Fathoms,Temp (F) at 1780 Fathoms,Temp (F) at 1800 Fathoms,Temp (F) at 1825 Fathoms,Temp (F) at 1850 Fathoms,Temp (F) at 1900 Fathoms,Temp (F) at 1915 Fathoms,Temp (F) at 1980 Fathoms,Temp (F) at 2000 Fathoms,Temp (F) at 2025 Fathoms,Temp (F) at 2100 Fathoms,Temp (F) at 2125Fathoms,Temp (F) at 2180 Fathoms,Temp (F) at 2200 Fathoms,Temp (F) at 2225 Fathoms,Temp (F) at 2270 Fathoms,Temp (F) at 2300 Fathoms,Temp (F) at 2325 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2425 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2500 Fathoms,Temp (F) at 2525 Fathoms,Temp (F) at 2600 Fathoms,Temp (F) at 2625 Fathoms,Temp (F) at 2650 Fathoms,Temp (F) at 2675 Fathoms,Temp (F) at 2700 Fathoms,Temp (F) at 2775 Fathoms,Temp (F) at 2800 Fathoms,Temp (F) at 2900 Fathoms,
II e,Green mud,38,22,0,N,9,44,0,W,-9.73,38.37,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,1290,,,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II f,Green mud,38,14,25,N,9,49,42,W,-9.83,38.24,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,1475,3.06,37.50,,,14.17,57.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II g,Green mud,38,9,43,N,9,48,0,W,-9.80,38.16,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,1380,3.33,38.00,,,14.17,57.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II h,Green mud,37,50,0,N,10,8,0,W,-10.13,37.83,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,14/01/1873,,1800,2.78,37.00,,,13.89,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II j,Green mud,37,1,45,N,9,23,45,W,-9.40,37.03,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,15/01/1873,,1000,4.17,39.50,,,15.28,59.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II k,Green sand,36,58,50,N,9,14,20,W,-9.24,36.98,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,15/01/1873,Dredge,525,12.22,54.00,,,15.56,60.00,,,,60,,,60,,,59.2,,,57.5,,,56.3,,,55.3,,,54.8,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,Green sand,37,2,0,N,9,14,0,W,-9.23,37.03,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,15/01/1873,Dredge,900,,,,,15.56,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV,Green sand,36,25,0,N,8,12,0,W,-8.20,36.42,Between Cape Sao Vincente and Gibraltar Strait,27,Northeast Atlantic Ocean,,Portugal,16/01/1873,Dredge & Trawl,600,,,,,15.56,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,Globigerina ooze,35,47,0,N,8,23,0,W,-8.38,35.78,"Ninety miles south-east of Cape Sao Vicente, Portugal",27,Northeast Atlantic Ocean,,Portugal,28/01/1873,Trawl,1090,3.61,38.50,,,16.11,61.00,,61,61,,60.9,60.7,60.5,60.3,59.6,,58.7,57.9,57.4,57,56.6,,56.2,55.7,55.2,54.9,54.6,,54.3,54.1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V a,,36,13,0,N,10,7,0,W,-10.12,36.22,"SW of Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,29/01/1873,,2500,,,,,15.00,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,Globigerina ooze,36,23,0,N,11,18,0,W,-11.30,36.38,"Off SW of Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,30/01/1873,Trawl,1525,2.22,36.00,,,14.44,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII,Globigerina ooze,35,20,0,N,13,4,0,W,-13.07,35.33,SE Josephine Bank,34,Eastern Central Atlantic Ocean,,,31/01/1873,Trawl,2125,2.78,37.00,,,15.56,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII a,Globigerina ooze,34,4,0,N,14,18,0,W,-14.30,34.07,Off NE Madeira Islands,34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,2250,2.78,37.00,,,16.11,61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII b,Globigerina ooze,32,43,0,N,15,52,0,W,-15.87,32.72,East of Madeira Islands,34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,2225,2.78,37.00,,,17.22,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII c,Calcareous sand,32,21,0,N,16,24,0,W,-16.40,32.35,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,670,8.22,46.80,,,17.22,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII d,Volcanic mud,32,16,0,N,16,28,0,W,-16.47,32.27,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,1150,,,,,17.78,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII e,Volcanic mud,32,20,15,N,16,32,0,W,-16.53,32.34,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,Trawl,930,6.39,43.50,,,17.67,63.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII f,Volcanic mud,32,27,0,N,16,40,30,W,-16.68,32.45,South of Madeira Island,34,Eastern Central Atlantic Ocean,,Madeira,01/02/1873,,1500,,,,,17.22,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII g,Volcanic mud,32,32,45,N,16,48,0,W,-16.80,32.55,South of Madeira Island,34,Eastern Central Atlantic Ocean,,Madeira,03/02/1873,,1150,3.89,39.00,,,17.22,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII h,Volcanic mud,32,35,0,N,16,51,0,W,-16.85,32.58,"South of Funchal, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,03/02/1873,,790,7.22,45.00,,,17.11,62.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII j,Volcanic mud,32,36,15,N,16,53,15,W,-16.89,32.60,"South of Funchal, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,03/02/1873,,490,,,,,17.22,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII k,Globigerina ooze,29,19,0,N,16,38,0,W,-16.63,29.32,"North of Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,06/02/1873,,1975,2.33,36.20,,,16.94,62.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII l,Volcanic mud,28,28,0,N,16,12,30,W,-16.21,28.47,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,278,,,,,17.78,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII m,Volcanic mud,28,28,0,N,16,10,0,W,-16.17,28.47,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,630,7.22,45.00,,,17.78,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII n,Volcanic mud,28,30,30,N,16,3,30,W,-16.06,28.51,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,975,5.00,41.00,,,17.78,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII o,Volcanic mud,28,33,0,N,16,4,0,W,-16.07,28.55,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,560,7.50,45.50,,,17.78,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII p,Volcanic sand,28,35,0,N,16,5,0,W,-16.08,28.58,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,Dredge,78,,,,,17.78,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII q,Hard ground,28,38,0,N,16,5,0,W,-16.08,28.63,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,179,,,,,17.78,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII r,Volcanic mud,28,41,0,N,16,6,0,W,-16.10,28.68,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,640,7.67,45.80,,,17.78,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII s,Volcanic mud,28,45,0,N,16,7,0,W,-16.12,28.75,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,10/02/1873,,1390,3.61,38.50,,,20.00,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII t,Volcanic mud,28,42,0,N,17,8,0,W,-17.13,28.70,"N of Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,11/02/1873,,1750,3.06,37.50,,,17.22,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII u,Volcanic mud,28,20,0,N,17,34,0,W,-17.57,28.33,"N of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,11/02/1873,,1340,3.61,38.50,,,18.33,65.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII v,Volcanic mud,27,58,0,N,17,39,0,W,-17.65,27.97,"SW of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,11/02/1873,,1620,3.06,37.50,,,18.33,65.00,,,,,,,,,,,,,59.3,,,,,,,,,,,,55,,,,51.6,48.9,46.5,44.7,43.2,41.9,40.8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIII,Volcanic mud,28,3,15,N,17,27,0,W,-17.45,28.05,"SW of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,12/02/1873,Dredge,620,,,,,18.06,64.50,,64.4,64.3,,64.2,64.1,64,63.9,63.8,,63.7,63.5,63,,61.4,,,60,,59.1,,,58.3,,57.6,,,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Globigerina ooze,27,24,0,N,16,55,0,W,-16.92,27.40,S of Canary Islands,34,Eastern Central Atlantic Ocean,,Spain,15/02/1873,Dredge,1890,2.67,36.80,1890,1.02854,18.06,64.50,1.02671,,,,,,,,,,,,61.8,,,,,,,,,,,,56,,,,51.7,49,46.8,44.9,43.2,41.8,40.7,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Globigerina ooze,25,52,0,N,19,22,0,W,-19.37,25.87,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,17/02/1873,Dredge,1945,2.67,36.80,1945,1.02801,19.44,67.00,1.02666,67,67,,67,67,67,67,66.2,,64.5,63,62,,60.7,,,59.4,,58.2,,,57,,56,,,,52.1,48.8,46,44.2,42.9,41.9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pteropod ooze,25,45,0,N,20,14,0,W,-20.23,25.75,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,18/02/1873,Dredge,1525,2.78,37.00,,,18.89,66.00,1.02654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,25,28,0,N,20,22,0,W,-20.37,25.47,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,19/02/1873,Dredge,2220,-17.78,0.00,,,18.89,66.00,1.02637,,,,,,,,,,,,63,,,,,,,,,,,,56.8,,,,52,49,46.3,44.3,43,42,41.2,40.5,39.9,39.3,38.7,,38.1,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Red clay,24,20,0,N,24,28,0,W,-24.47,24.33,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,21/02/1873,Dredge,2740,2.78,37.00,2740,1.02948,20.00,68.00,,,,,,,,,,,,,62.6,,,,,,,,,,,,57.2,,,,52.5,49,46.3,44.7,43.3,42.1,41,40,39.2,38.7,38.2,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Red clay,23,14,0,N,28,22,0,W,-28.37,23.23,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,23/02/1873,,2950,2.78,37.00,2950,1.02949,20.67,69.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Red clay,23,23,0,N,31,31,0,W,-31.52,23.38,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,24/02/1873,,2750,2.72,36.90,2750,1.02808,20.00,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Red clay,23,12,0,N,32,56,0,W,-32.93,23.20,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,25/02/1873,Dredge,2700,2.78,37.00,2700,1.02811,19.44,67.00,1.02677,,,,,,,,,,,,64.5,,,,,,,,,,,,59,,,,53.4,49,46,44,42.5,41.6,40.8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Red clay,23,23,0,N,35,11,0,W,-35.18,23.38,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,26/02/1873,Dredge,3150,2.67,36.80,3150,1.02857,20.56,69.00,1.02656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Red clay,23,10,0,N,38,42,0,W,-38.70,23.17,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,28/02/1873,,2720,2.50,36.50,2720,1.02959,21.67,71.00,1.02617,71.8,71.8,,71.8,71.6,71.4,71.2,70.5,,69.3,68.2,67,,,,,,,,,,,,58,,,,52.5,48,44.5,42.2,40.8,40,39.6,39.2,38.9,38.6,38.2,,37.9,,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Globigerina ooze,22,45,0,N,40,37,0,W,-40.62,22.75,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,01/03/1873,Dredge,2575,2.50,36.50,2575,1.02821,22.33,72.20,1.02614,,72.1,,,72,,72,,,71.2,,67.9,,64.5,,,61.3,,59.8,,,59.2,,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Globigerina ooze,21,57,0,N,43,29,0,W,-43.48,21.95,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,03/03/1873,Dredge,2025,2.72,36.90,2025,1.02845,22.78,73.00,1.02575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Globigerina ooze,21,38,0,N,44,39,0,W,-44.65,21.63,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,04/03/1873,Dredge,1900,2.67,36.80,1900,1.02899,22.22,72.00,1.02607,,,,,,,,,,,,66,,,,,,,,,,,,60.3,,,,54.5,49.5,45,42,40.5,39.7,39.1,38.7,38.3,38,37.7,,37.4,,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
